DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
4H, N, H, 7            1    6.45    3.44    0.00    3.01
4H, N, H, 9            2    1.94    3.44    0.00   -1.51
4H, S, D, 7            2    6.45    4.16    0.06    2.24
4H, S, D, 8            9    4.39    4.16    0.06    0.17
4H, S, D, 9            1    1.94    4.16    0.06   -2.28
4H, S, S, 8            2    4.39    4.16   -0.26    0.49
4H, S, S, 9            1    1.94    4.16   -0.26   -1.96
4SX, E, D, 6           1   12.94    7.48    5.46    0.00

DECLARER, Board 3|19

Contract           Count Overall     Bid    Play
2CX, S, S, 5           1    0.08    0.08   -0.00
2H, W, D, 10           1   -7.47   -7.47   -0.00
2S, E, H, 10           1   -7.47   -7.47   -0.00
2S, W, C, 11           1   -6.49   -7.40    0.91
2S, W, H, 10           1   -7.47   -7.40   -0.06
2S, W, S, 10           5   -7.47   -7.40   -0.06
3NT, E, C, 9           1    2.03    2.42   -0.40
3NT, E, D, 10          1    2.82    2.42    0.40
3S, E, S, 10           1   -7.47   -7.47   -0.00
3S, W, S, 10           7   -7.47   -7.40   -0.06
3S, W, S, 11           2   -6.49   -7.40    0.91
4DX, N, S, 8           1    4.84    6.10   -1.25
4H, W, H, 10           1    2.73    2.73   -0.00
4S, E, D, 10           2    2.73    2.73   -0.00
4S, E, S, 10           2    2.73    2.73   -0.00
4S, W, C, 10           2    2.73    2.78   -0.05
4S, W, D, 10           1    2.73    2.78   -0.05
4S, W, H, 10           1    2.73    2.78   -0.05
4S, W, S, 10          40    2.73    2.78   -0.05
4S, W, S, 11           1    3.51    2.78    0.73
5DX, N, D, 8           1    0.08    1.67   -1.59
5DX, N, S, 9           1    4.84    1.67    3.18
5DX, S, S, 7           1   -6.97   -2.27   -4.70
5DX, S, S, 8           2    0.08   -2.27    2.35

DEFENDER, Board 3|19

Contract           Count Overall     Bid    Lead Restdef
2CX, S, S, 5           1   -0.08   -0.08    0.00    0.00
2H, W, D, 10           1    7.47    7.47    0.00    0.00
2S, E, H, 10           1    7.47    7.47    0.00    0.00
2S, W, C, 11           1    6.49    7.40   -0.26   -0.65
2S, W, H, 10           1    7.47    7.40    0.06    0.00
2S, W, S, 10           5    7.47    7.40    0.01    0.05
3NT, E, C, 9           1   -2.03   -2.42    0.40    0.00
3NT, E, D, 10          1   -2.82   -2.42   -0.40    0.00
3S, E, S, 10           1    7.47    7.47    0.00    0.00
3S, W, S, 10           7    7.47    7.40    0.01    0.05
3S, W, S, 11           2    6.49    7.40    0.01   -0.92
4DX, N, S, 8           1   -4.84   -6.10   -0.63    1.88
4H, W, H, 10           1   -2.73   -2.73    0.00    0.00
4S, E, D, 10           2   -2.73   -2.73    0.00    0.00
4S, E, S, 10           2   -2.73   -2.73    0.00    0.00
4S, W, C, 10           2   -2.73   -2.78   -0.21    0.26
4S, W, D, 10           1   -2.73   -2.78    0.05    0.00
4S, W, H, 10           1   -2.73   -2.78    0.05    0.00
4S, W, S, 10          40   -2.73   -2.78    0.01    0.04
4S, W, S, 11           1   -3.51   -2.78    0.01   -0.74
5DX, N, D, 8           1   -0.08   -1.67    1.59    0.00
5DX, N, S, 9           1   -4.84   -1.67   -0.79   -2.38
5DX, S, S, 7           1    6.97    2.27    0.00    4.70
5DX, S, S, 8           2   -0.08    2.27    0.00   -2.35

DECLARER, Board 3|20

Contract           Count Overall     Bid    Play
3NT, N, S, 9           1   -2.71   -2.71   -0.00
4H, N, C, 11           3   -1.70   -1.42   -0.28
4H, N, C, 12           2   -1.18   -1.42    0.24
4H, N, D, 10           1   -2.40   -1.42   -0.98
4H, N, D, 11          10   -1.70   -1.42   -0.28
4H, N, D, 12           5   -1.18   -1.42    0.24
4H, N, H, 11           3   -1.70   -1.42   -0.28
4H, N, H, 12           2   -1.18   -1.42    0.24
4H, N, S, 11           3   -1.70   -1.42   -0.28
4H, N, S, 12           6   -1.18   -1.42    0.24
4H, S, D, 11           2   -1.70   -1.51   -0.19
4H, S, D, 12           2   -1.18   -1.51    0.32
5H, N, C, 11           1   -1.70   -1.56   -0.14
6H, N, C, 11           3  -11.94   -0.18  -11.76
6H, N, C, 12           3   10.00   -0.18   10.18
6H, N, C, 13           1   10.30   -0.18   10.48
6H, N, D, 11           3  -11.94   -0.18  -11.76
6H, N, D, 12           2   10.00   -0.18   10.18
6H, N, H, 11           2  -11.94   -0.18  -11.76
6H, N, H, 12           3   10.00   -0.18   10.18
6H, N, S, 11           2  -11.94   -0.18  -11.76
6H, N, S, 12          13   10.00   -0.18   10.18
6H, S, C, 11           1  -11.94   -3.71   -8.23
6H, S, D, 11           2  -11.94   -3.71   -8.23
6H, S, S, 12           1   10.00   -3.71   13.71
7H, N, C, 11           1  -12.51  -11.80   -0.71

DEFENDER, Board 3|20

Contract           Count Overall     Bid    Lead Restdef
3NT, N, S, 9           1    2.71    2.71    0.00    0.00
4H, N, C, 11           3    1.70    1.42   -0.00    0.28
4H, N, C, 12           2    1.18    1.42   -0.00   -0.24
4H, N, D, 10           1    2.40    1.42    0.14    0.84
4H, N, D, 11          10    1.70    1.42    0.14    0.14
4H, N, D, 12           5    1.18    1.42    0.14   -0.38
4H, N, H, 11           3    1.70    1.42    0.02    0.26
4H, N, H, 12           2    1.18    1.42    0.02   -0.26
4H, N, S, 11           3    1.70    1.42   -0.13    0.41
4H, N, S, 12           6    1.18    1.42   -0.13   -0.11
4H, S, D, 11           2    1.70    1.51    0.02    0.17
4H, S, D, 12           2    1.18    1.51    0.02   -0.35
5H, N, C, 11           1    1.70    1.56   -0.14    0.28
6H, N, C, 11           3   11.94    0.18    2.34    9.42
6H, N, C, 12           3  -10.00    0.18    2.34  -12.51
6H, N, C, 13           1  -10.30    0.18    2.34  -12.81
6H, N, D, 11           3   11.94    0.18    4.47    7.28
6H, N, D, 12           2  -10.00    0.18    4.47  -14.65
6H, N, H, 11           2   11.94    0.18    0.79   10.97
6H, N, H, 12           3  -10.00    0.18    0.79  -10.97
6H, N, S, 11           2   11.94    0.18   -5.61   17.37
6H, N, S, 12          13  -10.00    0.18   -5.61   -4.57
6H, S, C, 11           1   11.94    3.71    8.23    0.00
6H, S, D, 11           2   11.94    3.71    0.91    7.31
6H, S, S, 12           1  -10.00    3.71  -13.71    0.00
7H, N, C, 11           1   12.51   11.80   -1.56    2.27

DECLARER, Board 4|1

Contract           Count Overall     Bid    Play
2H, E, D, 10           1    1.99    0.53    1.46
2H, W, S, 10           3    1.99    1.20    0.79
2NT, E, D, 6           1   -4.56   -4.56   -0.00
3H, E, C, 10           1    1.99   -1.18    3.17
3H, E, S, 8            1   -3.22   -1.18   -2.04
3H, W, D, 10           2    1.99    0.06    1.93
3H, W, D, 8            1   -3.22    0.06   -3.28
3H, W, S, 10           1    1.99    0.06    1.93
3H, W, S, 8            5   -3.22    0.06   -3.28
3H, W, S, 9            3    1.17    0.06    1.11
4D, N, C, 9            3    0.97    0.97    0.00
4D, N, D, 9            1    0.97    0.97    0.00
4H, E, D, 10           1    6.92    0.21    6.71
4H, E, D, 8            1   -4.56    0.21   -4.77
4H, E, S, 7            1   -5.60    0.21   -5.81
4H, W, C, 12           1    8.04    0.48    7.56
4H, W, D, 10           3    6.92    0.48    6.45
4H, W, D, 11           3    7.62    0.48    7.15
4H, W, D, 9            8   -3.22    0.48   -3.70
4H, W, H, 10           5    6.92    0.48    6.45
4H, W, H, 11           1    7.62    0.48    7.15
4H, W, H, 9            2   -3.22    0.48   -3.70
4H, W, S, 10           2    6.92    0.48    6.45
4H, W, S, 7            1   -5.60    0.48   -6.07
4H, W, S, 8            9   -4.56    0.48   -5.04
4H, W, S, 9            1   -3.22    0.48   -3.70
4HX, E, D, 8           1   -8.10   -0.92   -7.18
4HX, W, D, 10          1    9.62    0.04    9.58
4HX, W, D, 8           1   -8.10    0.04   -8.14
4HX, W, D, 9           1   -4.56    0.04   -4.60
4HX, W, S, 10          1    9.62    0.04    9.58
4HX, W, S, 8           2   -8.10    0.04   -8.14
4S, W, D, 9            1   -3.22   -3.89    0.67
4S, W, S, 8            1   -4.56   -3.89   -0.67
5D, N, C, 9            2   -0.18   -0.18   -0.00
5D, N, H, 9            2   -0.18   -0.18   -0.00
5DX, N, C, 9           1   -4.64   -4.64   -0.00
5DX, N, H, 9           1   -4.64   -4.64   -0.00
5DX, S, H, 9           1   -4.64   -4.64   -0.00

DEFENDER, Board 4|1

Contract           Count Overall     Bid    Lead Restdef
2H, E, D, 10           1   -1.99   -0.53   -0.62   -0.83
2H, W, S, 10           3   -1.99   -1.20    0.47   -1.26
2NT, E, D, 6           1    4.56    4.56    0.00    0.00
3H, E, C, 10           1   -1.99    1.18   -3.17    0.00
3H, E, S, 8            1    3.22    1.18    2.71   -0.67
3H, W, D, 10           2   -1.99   -0.06   -1.09   -0.84
3H, W, D, 8            1    3.22   -0.06   -1.09    4.37
3H, W, S, 10           1   -1.99   -0.06    1.40   -3.33
3H, W, S, 8            5    3.22   -0.06    1.40    1.88
3H, W, S, 9            3   -1.17   -0.06    1.40   -2.51
4D, N, C, 9            3   -0.97   -0.97   -0.00    0.00
4D, N, D, 9            1   -0.97   -0.97   -0.00    0.00
4H, E, D, 10           1   -6.92   -0.21   -0.97   -5.74
4H, E, D, 8            1    4.56   -0.21   -0.97    5.74
4H, E, S, 7            1    5.60   -0.21    5.29    0.52
4H, W, C, 12           1   -8.04   -0.48   -7.56    0.00
4H, W, D, 10           3   -6.92   -0.48   -0.84   -5.61
4H, W, D, 11           3   -7.62   -0.48   -0.84   -6.31
4H, W, D, 9            8    3.22   -0.48   -0.84    4.54
4H, W, H, 10           5   -6.92   -0.48   -4.00   -2.45
4H, W, H, 11           1   -7.62   -0.48   -4.00   -3.15
4H, W, H, 9            2    3.22   -0.48   -4.00    7.69
4H, W, S, 10           2   -6.92   -0.48    2.01   -8.46
4H, W, S, 7            1    5.60   -0.48    2.01    4.06
4H, W, S, 8            9    4.56   -0.48    2.01    3.02
4H, W, S, 9            1    3.22   -0.48    2.01    1.69
4HX, E, D, 8           1    8.10    0.92   -1.68    8.86
4HX, W, D, 10          1   -9.62   -0.04   -1.58   -8.00
4HX, W, D, 8           1    8.10   -0.04   -1.58    9.73
4HX, W, D, 9           1    4.56   -0.04   -1.58    6.18
4HX, W, S, 10          1   -9.62   -0.04    3.31  -12.89
4HX, W, S, 8           2    8.10   -0.04    3.31    4.83
4S, W, D, 9            1    3.22    3.89   -0.67    0.00
4S, W, S, 8            1    4.56    3.89    0.67    0.00
5D, N, C, 9            2    0.18    0.18    0.00    0.00
5D, N, H, 9            2    0.18    0.18    0.00    0.00
5DX, N, C, 9           1    4.64    4.64    0.00    0.00
5DX, N, H, 9           1    4.64    4.64    0.00    0.00
5DX, S, H, 9           1    4.64    4.64    0.00    0.00

DECLARER, Board 4|10

Contract           Count Overall     Bid    Play
2H, E, C, 10           1    2.88    2.02    0.86
2H, E, C, 8            2    1.34    2.02   -0.68
2H, E, C, 9            1    1.92    2.02   -0.10
2NT, W, S, 7           1   -3.73   -3.73   -0.00
2S, N, C, 8            1    3.75    3.52    0.23
2S, N, D, 8            5    3.75    3.52    0.23
2S, N, H, 8            2    3.75    3.52    0.23
2S, S, C, 8            3    3.75    3.55    0.20
2S, S, D, 8            3    3.75    3.55    0.20
2S, S, H, 7            1   -0.92    3.55   -4.48
2S, S, H, 8           18    3.75    3.55    0.20
3D, E, C, 10           1    1.87    1.87   -0.00
3H, E, C, 8            1   -3.73   -0.15   -3.58
3H, E, C, 9            1    1.92   -0.15    2.07
3H, W, D, 7            1   -6.12   -4.92   -1.19
3H, W, D, 8            1   -3.73   -4.92    1.19
3S, N, D, 8            3   -0.92   -1.05    0.12
3S, S, C, 8            1   -0.92   -1.03    0.11
3S, S, H, 7            1   -3.42   -1.03   -2.39
3S, S, H, 8            5   -0.92   -1.03    0.11
3SX, S, H, 8           1   -3.42   -3.67    0.25
4H, E, C, 11           1   11.34   -0.58   11.92
4S, N, D, 7            1   -5.75   -3.53   -2.22
4S, N, D, 8            5   -3.42   -3.53    0.12
4S, N, H, 8            1   -3.42   -3.53    0.12
4S, S, H, 8           13   -3.42   -3.52    0.10
4SX, N, D, 8           1   -9.36   -9.53    0.16
4SX, N, H, 8           1   -9.36   -9.53    0.16
4SX, S, H, 8           1   -9.36   -9.50    0.14

DEFENDER, Board 4|10

Contract           Count Overall     Bid    Lead Restdef
2H, E, C, 10           1   -2.88   -2.02    0.00   -0.86
2H, E, C, 8            2   -1.34   -2.02    0.00    0.68
2H, E, C, 9            1   -1.92   -2.02    0.00    0.10
2NT, W, S, 7           1    3.73    3.73    0.00    0.00
2S, N, C, 8            1   -3.75   -3.52   -0.23    0.00
2S, N, D, 8            5   -3.75   -3.52    0.08   -0.31
2S, N, H, 8            2   -3.75   -3.52   -0.23    0.00
2S, S, C, 8            3   -3.75   -3.55   -0.20    0.00
2S, S, D, 8            3   -3.75   -3.55   -0.20    0.00
2S, S, H, 7            1    0.92   -3.55    0.03    4.44
2S, S, H, 8           18   -3.75   -3.55    0.03   -0.23
3D, E, C, 10           1   -1.87   -1.87    0.00    0.00
3H, E, C, 8            1    3.73    0.15    0.00    3.58
3H, E, C, 9            1   -1.92    0.15    0.00   -2.07
3H, W, D, 7            1    6.12    4.92    0.00    1.19
3H, W, D, 8            1    3.73    4.92    0.00   -1.19
3S, N, D, 8            3    0.92    1.05    0.04   -0.17
3S, S, C, 8            1    0.92    1.03   -0.11    0.00
3S, S, H, 7            1    3.42    1.03    0.02    2.37
3S, S, H, 8            5    0.92    1.03    0.02   -0.12
3SX, S, H, 8           1    3.42    3.67    0.04   -0.30
4H, E, C, 11           1  -11.34    0.58    0.00  -11.92
4S, N, D, 7            1    5.75    3.53    0.04    2.18
4S, N, D, 8            5    3.42    3.53    0.04   -0.16
4S, N, H, 8            1    3.42    3.53   -0.12    0.00
4S, S, H, 8           13    3.42    3.52    0.02   -0.12
4SX, N, D, 8           1    9.36    9.53    0.05   -0.22
4SX, N, H, 8           1    9.36    9.53   -0.16    0.00
4SX, S, H, 8           1    9.36    9.50    0.02   -0.16

DECLARER, Board 4|2

Contract           Count Overall     Bid    Play
1NTX, E, C, 2          1   -3.23   -3.23   -0.00
3NT, N, D, 12          1   -4.16   -4.20    0.05
3NT, N, H, 11          2   -4.78   -4.20   -0.58
3NT, N, H, 12         10   -4.16   -4.20    0.05
3NT, N, S, 12          2   -4.16   -4.20    0.05
3NT, S, H, 11          6   -4.78   -4.42   -0.36
3NT, S, H, 12          3   -4.16   -4.42    0.27
3NT, S, S, 12          2   -4.16   -4.42    0.27
4D, N, H, 12           1  -12.14  -12.14   -0.00
4NT, N, H, 12         10   -4.16   -4.20    0.05
4NT, S, H, 11          1   -4.78   -4.42   -0.36
4NT, S, H, 12          2   -4.16   -4.42    0.27
4NT, S, S, 10          1   -5.39   -4.42   -0.97
4NT, S, S, 12          3   -4.16   -4.42    0.27
5D, N, D, 11           1   -6.31   -5.73   -0.58
5D, N, H, 12           2   -5.70   -5.73    0.03
6C, N, S, 11           1  -14.09  -14.09   -0.00
6D, N, C, 12           2    7.57    6.63    0.94
6D, N, H, 12          12    7.57    6.63    0.94
6D, N, S, 12           5    7.57    6.63    0.94
6D, S, S, 12           5    7.57    7.57   -0.00
6NT, N, H, 12          2    8.91    7.21    1.70
6NT, S, H, 12          1    8.91    0.14    8.77
6NT, S, S, 12          2    8.91    0.14    8.77

DEFENDER, Board 4|2

Contract           Count Overall     Bid    Lead Restdef
1NTX, E, C, 2          1    3.23    3.23    0.00    0.00
3NT, N, D, 12          1    4.16    4.20   -0.05    0.00
3NT, N, H, 11          2    4.78    4.20    0.01    0.57
3NT, N, H, 12         10    4.16    4.20    0.01   -0.05
3NT, N, S, 12          2    4.16    4.20   -0.05    0.00
3NT, S, H, 11          6    4.78    4.42    0.07    0.29
3NT, S, H, 12          3    4.16    4.42    0.07   -0.34
3NT, S, S, 12          2    4.16    4.42   -0.11   -0.15
4D, N, H, 12           1   12.14   12.14    0.00    0.00
4NT, N, H, 12         10    4.16    4.20    0.01   -0.05
4NT, S, H, 11          1    4.78    4.42    0.07    0.29
4NT, S, H, 12          2    4.16    4.42    0.07   -0.34
4NT, S, S, 10          1    5.39    4.42   -0.11    1.08
4NT, S, S, 12          3    4.16    4.42   -0.11   -0.15
5D, N, D, 11           1    6.31    5.73    0.58    0.00
5D, N, H, 12           2    5.70    5.73   -0.03    0.00
6C, N, S, 11           1   14.09   14.09    0.00    0.00
6D, N, C, 12           2   -7.57   -6.63   -0.94    0.00
6D, N, H, 12          12   -7.57   -6.63   -0.94    0.00
6D, N, S, 12           5   -7.57   -6.63   -0.94    0.00
6D, S, S, 12           5   -7.57   -7.57    0.00    0.00
6NT, N, H, 12          2   -8.91   -7.21    0.21   -1.92
6NT, S, H, 12          1   -8.91   -0.14    3.61  -12.38
6NT, S, S, 12          2   -8.91   -0.14   -5.87   -2.91

DECLARER, Board 4|3

Contract           Count Overall     Bid    Play
3NT, N, D, 11          2   -0.23    0.04   -0.27
3NT, N, H, 11          4   -0.23    0.04   -0.27
3NT, N, S, 11          2   -0.23    0.04   -0.27
3NT, N, S, 12          1    0.77    0.04    0.73
3NT, N, S, 13          1    1.77    0.04    1.73
3NT, S, D, 12          2    0.77    0.16    0.61
3NT, S, H, 11          3   -0.23    0.16   -0.39
3NT, S, H, 12          1    0.77    0.16    0.61
3NT, S, S, 11         37   -0.23    0.16   -0.39
3NT, S, S, 12         17    0.77    0.16    0.61
3NT, S, S, 13          2    1.77    0.16    1.61
4NT, N, H, 11          1   -0.23    0.04   -0.27
4NT, S, H, 11          1   -0.23    0.16   -0.39
4NT, S, S, 11          2   -0.23    0.16   -0.39
4NT, S, S, 13          1    1.77    0.16    1.61
6C, N, C, 11           1  -11.00  -11.00   -0.00

DEFENDER, Board 4|3

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 11          2    0.23   -0.04    0.27    0.00
3NT, N, H, 11          4    0.23   -0.04    0.27    0.00
3NT, N, S, 11          2    0.23   -0.04   -0.48    0.75
3NT, N, S, 12          1   -0.77   -0.04   -0.48   -0.25
3NT, N, S, 13          1   -1.77   -0.04   -0.48   -1.25
3NT, S, D, 12          2   -0.77   -0.16   -0.61    0.00
3NT, S, H, 11          3    0.23   -0.16    0.19    0.20
3NT, S, H, 12          1   -0.77   -0.16    0.19   -0.80
3NT, S, S, 11         37    0.23   -0.16    0.00    0.39
3NT, S, S, 12         17   -0.77   -0.16    0.00   -0.61
3NT, S, S, 13          2   -1.77   -0.16    0.00   -1.61
4NT, N, H, 11          1    0.23   -0.04    0.27    0.00
4NT, S, H, 11          1    0.23   -0.16    0.19    0.20
4NT, S, S, 11          2    0.23   -0.16    0.00    0.39
4NT, S, S, 13          1   -1.77   -0.16    0.00   -1.61
6C, N, C, 11           1   11.00   11.00    0.00    0.00

DECLARER, Board 4|4

Contract           Count Overall     Bid    Play
1NT, E, H, 10          2    0.61   -0.25    0.86
1NT, E, H, 8           2   -0.90   -0.25   -0.65
1NT, E, H, 9           2   -0.21   -0.25    0.04
1NT, W, C, 9           3   -0.21    0.20   -0.41
2C, W, H, 9            3   -1.05   -1.10    0.05
2H, N, C, 8            1    5.86    5.86   -0.00
2H, N, D, 8            1    5.86    5.86   -0.00
2H, N, H, 8            1    5.86    5.86   -0.00
2H, N, S, 8            1    5.86    5.86   -0.00
2H, S, D, 8            5    5.86    5.61    0.25
2H, S, H, 8            1    5.86    5.61    0.25
