DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
2C, S, H, 9            1   -2.17   -2.08   -0.11    0.02
2NT, N, S, 7           1    1.88    1.88   -0.04    0.04
2NT, S, S, 7           6    1.86    0.41   -0.05    1.50
2S, E, S, 8            1   -3.49   -3.49    0.03   -0.03
2S, W, C, 6            2    4.38   -0.83    1.36    3.84
2S, W, C, 7            3    1.80   -0.83    1.36    1.27
2S, W, C, 8            2   -3.45   -0.83    1.36   -3.98
2S, W, S, 7            2    1.80   -0.83   -1.29    3.93
2S, W, S, 8            5   -3.45   -0.83   -1.29   -1.33
3C, S, C, 9            4   -2.16   -1.55   -0.64    0.03
3C, S, D, 8            1    1.83   -1.55    1.38    2.00
3C, S, D, 9            2   -2.16   -1.55    1.38   -1.99
3C, S, H, 9            1   -2.16   -1.55   -0.64    0.03
3C, S, S, 9            2   -2.16   -1.55   -0.64    0.03
3D, N, D, 7            1    3.29    3.48   -0.22    0.04
3D, N, S, 6            1    4.41    3.48    0.01    0.93
3D, N, S, 7            3    3.29    3.48    0.01   -0.19
3H, S, C, 7            1    3.21   -1.79    5.04   -0.04
3H, S, D, 8            1    1.82   -1.79    1.18    2.44
3H, S, D, 9            1   -3.02   -1.79    1.18   -2.41
3H, S, H, 9            3   -3.02   -1.79   -1.27    0.04
3H, S, S, 9            3   -3.02   -1.79   -1.27    0.04
3NT, N, D, 7           1    3.29    3.29   -0.03    0.03
3NT, S, S, 7           1    3.28    2.82   -0.04    0.49
3NTX, N, S, 7          1    7.61    7.61   -0.04    0.04
3S, W, C, 8            1    1.87    3.25    0.77   -2.15
4D, N, S, 7            1    4.44    4.64   -0.00   -0.19

DECLARER, Board 3|26

Contract           Count Overall     Bid    Play
2S, E, D, 8            1    5.47    4.07    1.40
2S, N, C, 5            1   -9.08   -8.19   -0.89
2S, N, C, 6            1   -7.31   -8.19    0.89
2S, W, C, 8            1    5.46    3.78    1.68
3C, S, H, 8            1   -5.34   -2.03   -3.30
3C, S, H, 9            4   -1.21   -2.03    0.83
3CX, S, H, 9           3   10.08    6.64    3.44
3NT, E, C, 6           2   -3.51    0.91   -4.42
3NT, E, C, 7           6   -1.26    0.91   -2.17
3NT, E, C, 8          12    1.21    0.91    0.30
3NT, E, C, 9           2   11.91    0.91   11.00
3NT, E, D, 7           1   -1.26    0.91   -2.17
3NT, E, H, 8           2    1.21    0.91    0.30
3NT, W, C, 8           1    1.19   -0.19    1.38
3NT, W, D, 6           1   -3.53   -0.19   -3.34
3NT, W, D, 7           1   -1.28   -0.19   -1.09
3NT, W, D, 8           3    1.19   -0.19    1.38
3NT, W, S, 7           1   -1.28   -0.19   -1.09
3NTX, E, C, 7          1   -7.41   -2.89   -4.52
3S, E, C, 7            1   -1.27    0.38   -1.64
3S, W, C, 7            1   -1.27    0.21   -1.48
4H, E, C, 7            1   -3.56   -2.44   -1.12
4H, E, D, 7            1   -3.56   -2.44   -1.12
4H, E, D, 8            2   -1.32   -2.44    1.12
4H, W, C, 8            1   -1.30   -1.30    0.00
4S, W, C, 7            2   -3.56   -2.21   -1.34
4S, W, C, 8            2   -1.32   -2.21    0.90
4S, W, H, 8            1   -1.32   -2.21    0.90
4S, W, S, 8            1   -1.32   -2.21    0.90
4SX, E, C, 8           1   -7.52   -8.91    1.39
4SX, W, C, 7           1  -11.68   -9.19   -2.49
4SX, W, C, 8           1   -7.53   -9.19    1.66
5CX, S, H, 8           1  -13.74  -11.84   -1.90
5CX, S, H, 9           1  -11.37  -11.84    0.47
5D, E, C, 7            1   -5.59   -5.59    0.00

DEFENDER, Board 3|26

Contract           Count Overall     Bid    Lead Restdef
2S, E, D, 8            1   -5.47   -4.07   -1.55    0.15
2S, N, C, 5            1    9.08    8.19    0.05    0.84
2S, N, C, 6            1    7.31    8.19    0.05   -0.94
2S, W, C, 8            1   -5.46   -3.78    0.28   -1.96
3C, S, H, 8            1    5.34    2.03    0.15    3.15
3C, S, H, 9            4    1.21    2.03    0.15   -0.98
3CX, S, H, 9           3  -10.08   -6.64    0.11   -3.55
3NT, E, C, 6           2    3.51   -0.91   -0.23    4.65
3NT, E, C, 7           6    1.26   -0.91   -0.23    2.40
3NT, E, C, 8          12   -1.21   -0.91   -0.23   -0.07
3NT, E, C, 9           2  -11.91   -0.91   -0.23  -10.77
3NT, E, D, 7           1    1.26   -0.91    2.02    0.15
3NT, E, H, 8           2   -1.21   -0.91   -0.47    0.17
3NT, W, C, 8           1   -1.19    0.19   -1.57    0.19
3NT, W, D, 6           1    3.53    0.19   -0.12    3.46
3NT, W, D, 7           1    1.28    0.19   -0.12    1.21
3NT, W, D, 8           3   -1.19    0.19   -0.12   -1.26
3NT, W, S, 7           1    1.28    0.19    0.92    0.17
3NTX, E, C, 7          1    7.41    2.89   -0.20    4.72
3S, E, C, 7            1    1.27   -0.38    0.24    1.40
3S, W, C, 7            1    1.27   -0.21    0.07    1.41
4H, E, C, 7            1    3.56    2.44    0.95    0.17
4H, E, D, 7            1    3.56    2.44   -0.57    1.69
4H, E, D, 8            2    1.32    2.44   -0.57   -0.55
4H, W, C, 8            1    1.30    1.30   -0.19    0.19
4S, W, C, 7            2    3.56    2.21    0.04    1.31
4S, W, C, 8            2    1.32    2.21    0.04   -0.94
4S, W, H, 8            1    1.32    2.21   -1.10    0.21
4S, W, S, 8            1    1.32    2.21   -1.10    0.21
4SX, E, C, 8           1    7.52    8.91    0.59   -1.97
4SX, W, C, 7           1   11.68    9.19    0.30    2.19
4SX, W, C, 8           1    7.53    9.19    0.30   -1.96
5CX, S, H, 8           1   13.74   11.84   -0.02    1.92
5CX, S, H, 9           1   11.37   11.84   -0.02   -0.46
5D, E, C, 7            1    5.59    5.59   -0.20    0.20

DECLARER, Board 3|27

Contract           Count Overall     Bid    Play
1NT, N, H, 9           2   -0.47   -0.61    0.14
2C, S, H, 11           2   -0.46   -0.50    0.04
2C, S, H, 12           1    0.27   -0.50    0.77
2C, S, H, 9            1   -1.31   -0.50   -0.81
2SX, W, C, 8           1   11.26   11.26    0.00
3C, S, H, 10           1   -0.77   -0.50   -0.27
3HX, W, C, 8           1    1.56    1.56    0.00
3NT, N, H, 8          15   -4.73   -1.61   -3.11
3NT, N, H, 9           2    4.83   -1.61    6.44
3NT, N, S, 10          3    5.35   -1.61    6.97
3NT, S, H, 8           1   -4.78   -4.78    0.00
3S, S, H, 9            1   -0.51   -2.05    1.53
4C, S, H, 11           1   -0.47   -0.81    0.35
4D, N, H, 12           2    0.28   -0.10    0.38
4S, N, H, 8            1   -6.07   -1.84   -4.23
4S, N, H, 9            1   -4.73   -1.84   -2.89
4S, S, H, 10           1    5.26   -3.29    8.54
4S, S, H, 8            2   -6.09   -3.29   -2.80
4S, S, H, 9            1   -4.76   -3.29   -1.47
5C, S, H, 11           3    4.90    3.09    1.82
5D, N, H, 11           4    4.93    4.68    0.26
5D, N, H, 12           6    5.37    4.68    0.70
5D, N, S, 10           1   -4.63    4.68   -9.30
5D, N, S, 11           1    4.93    4.68    0.26
6C, S, H, 11           2   -4.76   -3.53   -1.23
6D, N, H, 11           1   -4.67    3.69   -8.36
6D, N, H, 12           2   12.18    3.69    8.49
6D, N, S, 11           3   -4.67    3.69   -8.36
6S, N, C, 10           1   -6.16   -6.93    0.77

DEFENDER, Board 3|27

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 9           2    0.47    0.61   -0.42    0.28
2C, S, H, 11           2    0.46    0.50   -0.56    0.52
2C, S, H, 12           1   -0.27    0.50   -0.56   -0.21
2C, S, H, 9            1    1.31    0.50   -0.56    1.37
2SX, W, C, 8           1  -11.26  -11.26    0.18   -0.18
3C, S, H, 10           1    0.77    0.50   -0.56    0.83
3HX, W, C, 8           1   -1.56   -1.56    0.56   -0.56
3NT, N, H, 8          15    4.73    1.61    0.62    2.49
3NT, N, H, 9           2   -4.83    1.61    0.62   -7.07
3NT, N, S, 10          3   -5.35    1.61   -7.66    0.70
3NT, S, H, 8           1    4.78    4.78   -0.46    0.46
3S, S, H, 9            1    0.51    2.05   -0.52   -1.01
4C, S, H, 11           1    0.47    0.81   -0.55    0.21
4D, N, H, 12           2   -0.28    0.10   -0.72    0.34
4S, N, H, 8            1    6.07    1.84    3.19    1.03
4S, N, H, 9            1    4.73    1.84    3.19   -0.30
4S, S, H, 10           1   -5.26    3.29   -0.46   -8.08
4S, S, H, 8            2    6.09    3.29   -0.46    3.26
4S, S, H, 9            1    4.76    3.29   -0.46    1.93
5C, S, H, 11           3   -4.90   -3.09   -0.58   -1.24
5D, N, H, 11           4   -4.93   -4.68   -1.17    0.91
5D, N, H, 12           6   -5.37   -4.68   -1.17    0.47
5D, N, S, 10           1    4.63   -4.68    1.10    8.21
5D, N, S, 11           1   -4.93   -4.68    1.10   -1.35
6C, S, H, 11           2    4.76    3.53   -0.44    1.67
6D, N, H, 11           1    4.67   -3.69   -3.29   11.64
6D, N, H, 12           2  -12.18   -3.69   -3.29   -5.20
6D, N, S, 11           3    4.67   -3.69    8.29    0.06
6S, N, C, 10           1    6.16    6.93   -1.19    0.42

DECLARER, Board 3|28

Contract           Count Overall     Bid    Play
4H, W, D, 12           7   -6.06   -5.98   -0.08
4S, E, D, 12           7   -6.06   -6.08    0.01
4S, E, H, 12           1   -6.06   -6.08    0.01
4S, W, D, 11           1   -6.48   -6.17   -0.31
4S, W, D, 12           3   -6.07   -6.17    0.10
5H, W, D, 12           2   -6.06   -5.98   -0.08
5S, E, D, 11           1   -6.48   -6.08   -0.40
5S, E, D, 12           3   -6.06   -6.08    0.01
5S, W, D, 11           1   -6.48   -6.17   -0.31
5S, W, D, 12           1   -6.07   -6.17    0.10
6H, E, D, 12           3    4.92    4.92    0.00
6H, W, D, 12          12    4.93    4.97   -0.05
6H, W, D, 13           2    5.49    4.97    0.52
6H, W, H, 12           1    4.93    4.97   -0.05
6S, E, D, 12          17    4.92    4.32    0.60
6S, W, D, 12           2    4.87    0.52    4.35

DEFENDER, Board 3|28

Contract           Count Overall     Bid    Lead Restdef
4H, W, D, 12           7    6.06    5.98    0.34   -0.26
4S, E, D, 12           7    6.06    6.08    0.35   -0.36
4S, E, H, 12           1    6.06    6.08    0.34   -0.35
4S, W, D, 11           1    6.48    6.17    0.35   -0.04
4S, W, D, 12           3    6.07    6.17    0.35   -0.45
5H, W, D, 12           2    6.06    5.98    0.34   -0.26
5S, E, D, 11           1    6.48    6.08    0.35    0.05
5S, E, D, 12           3    6.06    6.08    0.35   -0.36
5S, W, D, 11           1    6.48    6.17    0.35   -0.04
5S, W, D, 12           1    6.07    6.17    0.35   -0.45
6H, E, D, 12           3   -4.92   -4.92    0.24   -0.24
6H, W, D, 12          12   -4.93   -4.97    0.24   -0.19
6H, W, D, 13           2   -5.49   -4.97    0.24   -0.76
6H, W, H, 12           1   -4.93   -4.97    0.29   -0.24
6S, E, D, 12          17   -4.92   -4.32    0.26   -0.86
6S, W, D, 12           2   -4.87   -0.52    0.19   -4.54

DECLARER, Board 3|29

Contract           Count Overall     Bid    Play
4C, S, S, 10           1    1.67    1.67    0.00
4S, E, D, 8            2   -3.32   -2.03   -1.28
4S, E, D, 9            1   -0.75   -2.03    1.28
4S, W, C, 9           12   -0.73   -0.95    0.22
4S, W, D, 8            8   -3.30   -0.95   -2.35
4S, W, D, 9            2   -0.73   -0.95    0.22
4S, W, H, 10           2   11.44   -0.95   12.40
4S, W, H, 8            4   -3.30   -0.95   -2.35
4S, W, H, 9            4   -0.73   -0.95    0.22
4SX, E, H, 9           1   -3.40   -6.15    2.76
4SX, W, C, 9           2   -3.36   -4.33    0.97
4SX, W, D, 9           1   -3.36   -4.33    0.97
4SX, W, H, 8           1   -8.88   -4.33   -4.55
4SX, W, H, 9           1   -3.36   -4.33    0.97
5C, S, D, 10           1   -3.62   -3.62    0.00
5CX, N, H, 10          1   -5.81   -5.81    0.00
5CX, N, S, 10          1   -5.81   -5.81    0.00
5CX, S, D, 10          1   -5.81   -5.81    0.00
5CX, S, H, 10          2   -5.81   -5.81    0.00
5D, N, D, 10           1   -3.62   -3.62    0.00
5D, N, H, 10           1   -3.62   -3.62    0.00
5D, N, S, 10           2   -3.62   -3.62    0.00
5DX, N, S, 10          8   -5.81   -5.81    0.00
5S, W, C, 9            2   -3.35   -3.94    0.58
5SX, W, C, 9           2   -8.99   -9.80    0.81

DEFENDER, Board 3|29

Contract           Count Overall     Bid    Lead Restdef
4C, S, S, 10           1   -1.67   -1.67   -0.08    0.08
4S, E, D, 8            2    3.32    2.03    0.51    0.77
4S, E, D, 9            1    0.75    2.03    0.51   -1.79
4S, W, C, 9           12    0.73    0.95   -0.18   -0.04
4S, W, D, 8            8    3.30    0.95    1.75    0.59
4S, W, D, 9            2    0.73    0.95    1.75   -1.97
4S, W, H, 10           2  -11.44    0.95   -1.13  -11.26
4S, W, H, 8            4    3.30    0.95   -1.13    3.48
4S, W, H, 9            4    0.73    0.95   -1.13    0.92
4SX, E, H, 9           1    3.40    6.15   -2.72   -0.03
4SX, W, C, 9           2    3.36    4.33   -0.90   -0.06
4SX, W, D, 9           1    3.36    4.33    3.22   -4.19
4SX, W, H, 8           1    8.88    4.33   -1.23    5.78
4SX, W, H, 9           1    3.36    4.33   -1.23    0.26
5C, S, D, 10           1    3.62    3.62   -0.08    0.08
5CX, N, H, 10          1    5.81    5.81   -0.04    0.04
5CX, N, S, 10          1    5.81    5.81   -0.04    0.04
5CX, S, D, 10          1    5.81    5.81   -0.04    0.04
5CX, S, H, 10          2    5.81    5.81   -0.04    0.04
5D, N, D, 10           1    3.62    3.62   -0.08    0.08
5D, N, H, 10           1    3.62    3.62   -0.08    0.08
5D, N, S, 10           2    3.62    3.62   -0.08    0.08
5DX, N, S, 10          8    5.81    5.81   -0.04    0.04
5S, W, C, 9            2    3.35    3.94   -0.51   -0.08
5SX, W, C, 9           2    8.99    9.80   -0.71   -0.10

DECLARER, Board 3|30

Contract           Count Overall     Bid    Play
1NT, N, S, 5           2    0.45    0.73   -0.29
1NTX, N, S, 5         11   -4.34   -3.31   -1.03
1NTX, N, S, 6          5    0.38   -3.31    3.69
1NTX, W, S, 8          1    4.04    4.87   -0.83
2C, N, H, 7            1    1.78    0.20    1.59
2C, N, S, 5            1   -0.83    0.20   -1.03
2C, W, S, 6            1   -5.20   -5.20    0.00
2CX, N, H, 6           1   -4.38   -5.01    0.64
2CX, N, S, 5           1   -8.33   -5.01   -3.32
2D, N, D, 6            1    0.46    1.13   -0.67
2D, N, S, 7            1    1.80    1.13    0.67
2D, S, H, 8            1    4.99    2.73    2.26
2DX, S, D, 7           1    0.47    2.28   -1.81
2DX, S, S, 7           2    0.47    2.28   -1.81
2H, E, H, 8            1   -0.34   -0.34    0.00
2H, W, H, 9            1    0.65    0.16    0.49
2H, W, S, 8            1   -0.33    0.16   -0.49
2NT, W, D, 8           1    0.14    0.42   -0.28
2NT, W, H, 9           1    0.85    0.42    0.42
2NT, W, S, 8           1    0.14    0.42   -0.28
2NT, W, S, 9           1    0.85    0.42    0.42
2NTX, N, S, 4          1  -12.04   -7.53   -4.51
2S, E, D, 6            2   -5.18   -3.84   -1.33
2S, E, D, 7            1   -3.95   -3.84   -0.11
2S, E, D, 8            3   -0.40   -3.84    3.44
2S, E, H, 6            7   -5.18   -3.84   -1.33
2S, E, H, 7            3   -3.95   -3.84   -0.11
2S, E, H, 8            1   -0.40   -3.84    3.44
2S, S, C, 4            1   -2.07   -2.07    0.00
2SX, E, H, 6           1   -8.97   -4.41   -4.57
3CX, N, S, 6           1   -8.42   -9.10    0.67
3D, S, D, 7            1    0.45    0.83   -0.38
3D, S, S, 7            1    0.45    0.83   -0.38
3D, S, S, 8            1    1.79    0.83    0.96
3NT, S, S, 6           1   -0.86   -0.86    0.00
4H, N, S, 6            1   -2.07   -2.07    0.00

DEFENDER, Board 3|30

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 5           2   -0.45   -0.73    0.02    0.27
1NTX, N, S, 5         11    4.34    3.31    0.02    1.01
1NTX, N, S, 6          5   -0.38    3.31    0.02   -3.71
1NTX, W, S, 8          1   -4.04   -4.87    0.14    0.69
2C, N, H, 7            1   -1.78   -0.20   -0.92   -0.67
2C, N, S, 5            1    0.83   -0.20    0.65    0.38
2C, W, S, 6            1    5.20    5.20   -0.02    0.02
2CX, N, H, 6           1    4.38    5.01   -3.03    2.39
2CX, N, S, 5           1    8.33    5.01    2.04    1.28
2D, N, D, 6            1   -0.46   -1.13    0.71   -0.04
2D, N, S, 7            1   -1.80   -1.13   -0.68    0.01
2D, S, H, 8            1   -4.99   -2.73   -2.30    0.04
2DX, S, D, 7           1   -0.47   -2.28    1.86   -0.05
2DX, S, S, 7           2   -0.47   -2.28    0.27    1.54
2H, E, H, 8            1    0.34    0.34   -0.02    0.02
2H, W, H, 9            1   -0.65   -0.16   -0.52    0.02
2H, W, S, 8            1    0.33   -0.16    0.48    0.01
2NT, W, D, 8           1   -0.14   -0.42    0.26    0.02
2NT, W, H, 9           1   -0.85   -0.42   -0.46    0.04
2NT, W, S, 8           1   -0.14   -0.42    0.02    0.26
2NT, W, S, 9           1   -0.85   -0.42    0.02   -0.44
2NTX, N, S, 4          1   12.04    7.53    0.00    4.51
2S, E, D, 6            2    5.18    3.84   -1.30    2.63
2S, E, D, 7            1    3.95    3.84   -1.30    1.41
2S, E, D, 8            3    0.40    3.84   -1.30   -2.14
2S, E, H, 6            7    5.18    3.84    0.62    0.71
2S, E, H, 7            3    3.95    3.84    0.62   -0.51
2S, E, H, 8            1    0.40    3.84    0.62   -4.06
2S, S, C, 4            1    2.07    2.07    0.04   -0.04
2SX, E, H, 6           1    8.97    4.41    2.26    2.31
3CX, N, S, 6           1    8.42    9.10    1.79   -2.46
3D, S, D, 7            1   -0.45   -0.83    0.41   -0.03
3D, S, S, 7            1   -0.45   -0.83    0.07    0.32
3D, S, S, 8            1   -1.79   -0.83    0.07   -1.03
3NT, S, S, 6           1    0.86    0.86    0.03   -0.03
4H, N, S, 6            1    2.07    2.07    0.04   -0.04

DECLARER, Board 4|1

Contract           Count Overall     Bid    Play
2S, E, C, 11           1   -0.67   -1.07    0.40
2S, E, C, 9            1   -1.85   -1.07   -0.78
2S, E, D, 10           1   -1.19   -1.07   -0.12
2S, E, H, 11           2   -0.67   -1.07    0.40
2S, W, D, 11           1   -0.67   -1.15    0.48
2S, W, D, 9            1   -1.86   -1.15   -0.71
3C, E, D, 10           1   -2.19   -2.07   -0.12
3C, E, D, 11           1   -1.84   -2.07    0.23
3D, N, C, 8            1    4.02    5.08   -1.06
3D, N, S, 9            1    7.20    5.08    2.11
3H, S, H, 9            1    7.83    7.83    0.00
3NT, E, D, 8           2   -6.10    0.23   -6.33
3NT, E, H, 9           2    3.77    0.23    3.54
3NT, E, S, 12          1    5.81    0.23    5.58
3S, E, D, 10           1   -1.19   -1.07   -0.12
3S, W, C, 11           1   -0.67   -1.15    0.48
3S, W, C, 9            1   -1.86   -1.15   -0.71
4D, N, D, 8            1    2.91    3.27   -0.36
4S, E, C, 11           4    5.15    2.37    2.78
4S, E, C, 12           1    5.76    2.37    3.39
4S, E, C, 9            4   -6.07    2.37   -8.44
4S, E, D, 10           3    4.34    2.37    1.96
4S, E, H, 10           2    4.34    2.37    1.96
4S, E, H, 11           2    5.15    2.37    2.78
4S, W, C, 10           2    4.30    0.13    4.17
4S, W, C, 11           6    5.12    0.13    4.99
