DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
DEFENDER, Board 38|13

Contract           Count Overall     Bid    Lead Restdef
2H, S, S, 10           1   87.78   88.48   49.29   50.00
2SX, E, H, 6           1   22.22   20.00   50.00   52.22
2SX, E, H, 7           2   18.89   20.00   50.00   48.89
3H, N, D, 10           1   87.78   88.66   49.12   50.00
3H, S, D, 10           1   87.78   88.48   51.06   48.24
3H, S, S, 10           1   87.78   88.48   49.29   50.00
3NT, N, D, 10         16   22.22   30.12   50.00   42.11
3NT, N, D, 9           3   72.22   30.12   50.00   92.11
3NT, S, C, 10          1   22.22   27.78   33.33   61.11
3NT, S, C, 11          1    0.00   27.78   33.33   38.89
3NT, S, D, 10          1   22.22   27.78   69.44   25.00
3NT, S, D, 9           1   72.22   27.78   69.44   75.00
3NT, S, S, 10          1   22.22   27.78   44.44   50.00
4H, N, D, 10           2   55.56   66.39   39.17   50.00
4H, N, S, 9            1   98.89   66.39   82.50   50.00
4H, S, D, 10           2   55.56   64.22   63.00   28.33
4H, S, D, 9            1   98.89   64.22   63.00   71.67
4H, S, S, 10           7   55.56   64.22   41.33   50.00
pass                   2   94.44   94.44   50.00   50.00

DECLARER, Board 38|14

Contract           Count Overall     Bid    Play
1NT, E, C, 7           1   80.00   80.00   50.00
1NTXX, E, D, 7         1  100.00  100.00   50.00
2H, E, C, 8            3   88.89   89.48   49.41
2H, E, D, 8            3   88.89   89.48   49.41
2H, W, D, 7            1   47.78   83.02   14.76
2H, W, S, 8            1   88.89   83.02   55.87
2NT, W, D, 7           1   47.78   28.33   69.44
2NT, W, S, 5           1    8.89   28.33   30.56
2S, S, D, 10           1   95.56   80.33   65.23
2S, S, H, 9            1   80.00   80.33   49.67
3H, E, C, 8            2   47.78   51.11   46.67
3H, E, D, 8            5   47.78   51.11   46.67
3H, E, D, 9            1   97.78   51.11   96.67
3H, E, H, 8            1   47.78   51.11   46.67
3H, W, D, 8            4   47.78   45.40   52.38
3S, N, H, 9            2   80.00   80.00   50.00
3S, S, C, 10           1   95.56   68.89   76.67
3S, S, C, 8            3   26.67   68.89    7.78
3S, S, C, 9            1   80.00   68.89   61.11
3S, S, D, 9            3   80.00   68.89   61.11
3S, S, H, 8            1   26.67   68.89    7.78
3S, S, H, 9            2   80.00   68.89   61.11
3S, S, S, 10           1   95.56   68.89   76.67
3SX, S, C, 9           1  100.00   78.55   71.45
4H, W, D, 8            1   31.11   27.94   53.17
4S, N, D, 9            1   26.67   26.67   50.00
pass                   2   34.44   34.44   50.00

DEFENDER, Board 38|14

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 7           1   20.00   20.00   50.00   50.00
1NTXX, E, D, 7         1    0.00    0.00   50.00   50.00
2H, E, C, 8            3   11.11   10.52   50.59   50.00
2H, E, D, 8            3   11.11   10.52   49.60   50.99
2H, W, D, 7            1   52.22   16.98   50.98   84.26
2H, W, S, 8            1   11.11   16.98   44.13   50.00
2NT, W, D, 7           1   52.22   71.67   30.56   50.00
2NT, W, S, 5           1   91.11   71.67   69.44   50.00
2S, S, D, 10           1    4.44   19.67   46.44   38.33
2S, S, H, 9            1   20.00   19.67   52.94   47.39
3H, E, C, 8            2   52.22   48.89   53.33   50.00
3H, E, D, 8            5   52.22   48.89   47.78   55.56
3H, E, D, 9            1    2.22   48.89   47.78    5.56
3H, E, H, 8            1   52.22   48.89   53.33   50.00
3H, W, D, 8            4   52.22   54.60   50.40   47.22
3S, N, H, 9            2   20.00   20.00   50.00   50.00
3S, S, C, 10           1    4.44   31.11   62.96   10.37
3S, S, C, 8            3   73.33   31.11   62.96   79.26
3S, S, C, 9            1   20.00   31.11   62.96   25.93
3S, S, D, 9            3   20.00   31.11   35.00   53.89
3S, S, H, 8            1   73.33   31.11   52.22   90.00
3S, S, H, 9            2   20.00   31.11   52.22   36.67
3S, S, S, 10           1    4.44   31.11   23.33   50.00
3SX, S, C, 9           1    0.00   21.45   68.77    9.78
4H, W, D, 8            1   68.89   72.06   50.53   46.30
4S, N, D, 9            1   73.33   73.33   50.00   50.00
pass                   2   65.56   65.56   50.00   50.00

DECLARER, Board 38|7

Contract           Count Overall     Bid    Play
3D, S, H, 9            1   12.00   12.00   50.00
4S, N, D, 12           1   64.00   51.44   62.56
4S, N, H, 11           5   26.00   51.44   24.56
4S, N, H, 12           9   64.00   51.44   62.56
4S, N, H, 13           1   92.00   51.44   90.56
4S, N, S, 11           1   26.00   51.44   24.56
5S, N, H, 12           3   64.00   51.44   62.56
6S, N, D, 11           1    4.00   62.89   -8.89
6S, N, H, 11           2    4.00   62.89   -8.89
6S, N, H, 12           1   96.00   62.89   83.11
6SX, N, C, 12          1  100.00   64.00   86.00

DEFENDER, Board 38|7

Contract           Count Overall     Bid    Lead Restdef
3D, S, H, 9            1   88.00   88.00   50.00   50.00
4S, N, D, 12           1   36.00   48.56   56.44   31.00
4S, N, H, 11           5   74.00   48.56   48.77   76.67
4S, N, H, 12           9   36.00   48.56   48.77   38.67
4S, N, H, 13           1    8.00   48.56   48.77   10.67
4S, N, S, 11           1   74.00   48.56   75.44   50.00
5S, N, H, 12           3   36.00   48.56   48.77   38.67
6S, N, D, 11           1   96.00   37.11   62.89   96.00
6S, N, H, 11           2   96.00   37.11   47.55  111.34
6S, N, H, 12           1    4.00   37.11   47.55   19.34
6SX, N, C, 12          1    0.00   36.00   14.00   50.00

DECLARER, Board 38|8

Contract           Count Overall     Bid    Play
2DX, E, C, 6           1   32.00   66.50   15.50
2DX, E, S, 7           1   78.00   66.50   61.50
2NT, N, D, 9           1   50.00   50.96   49.04
2NT, N, H, 9           1   50.00   50.96   49.04
2SX, W, C, 8           1  100.00  100.00   50.00
3C, N, S, 10           1   38.00   39.76   48.24
3CX, N, S, 10          1  100.00  100.00   50.00
3DX, E, C, 7           1   32.00   25.00   57.00
3DX, E, H, 7           2   32.00   25.00   57.00
3DX, E, S, 6           1    4.00   25.00   29.00
3DX, E, S, 7           2   32.00   25.00   57.00
3NT, N, D, 10          1   92.00   86.00   56.00
3NT, N, H, 9           1   84.00   86.00   48.00
3SX, W, C, 8           1   78.00   78.00   50.00
3SX, W, D, 8           1   78.00   78.00   50.00
3SX, W, S, 8           1   78.00   78.00   50.00
4C, N, S, 10           3   38.00   39.76   48.24
4SX, W, D, 8           1   32.00   32.00   50.00
5C, N, C, 12           1   88.00   16.89  121.11
5C, N, S, 10           3    8.00   16.89   41.11

DEFENDER, Board 38|8

Contract           Count Overall     Bid    Lead Restdef
2DX, E, C, 6           1   68.00   33.50   61.50   73.00
2DX, E, S, 7           1   22.00   33.50   50.00   38.50
2NT, N, D, 9           1   50.00   49.04   49.04   51.92
2NT, N, H, 9           1   50.00   49.04   50.96   50.00
2SX, W, C, 8           1    0.00    0.00   50.00   50.00
3C, N, S, 10           1   62.00   60.24   51.76   50.00
3CX, N, S, 10          1    0.00    0.00   50.00   50.00
3DX, E, C, 7           1   68.00   75.00   57.00   36.00
3DX, E, H, 7           2   68.00   75.00   43.00   50.00
3DX, E, S, 6           1   96.00   75.00   50.00   71.00
3DX, E, S, 7           2   68.00   75.00   50.00   43.00
3NT, N, D, 10          1    8.00   14.00   48.00   46.00
3NT, N, H, 9           1   16.00   14.00   52.00   50.00
3SX, W, C, 8           1   22.00   22.00   50.00   50.00
3SX, W, D, 8           1   22.00   22.00   50.00   50.00
3SX, W, S, 8           1   22.00   22.00   50.00   50.00
4C, N, S, 10           3   62.00   60.24   51.76   50.00
4SX, W, D, 8           1   68.00   68.00   50.00   50.00
5C, N, C, 12           1   12.00   83.11  -21.11   50.00
5C, N, S, 10           3   92.00   83.11   58.89   50.00

DECLARER, Board 39|1

Contract           Count Overall     Bid    Play
3NT, N, S, 10          3   37.78   60.89   26.89
3NT, N, S, 11          1   95.56   60.89   84.67
3NTX, N, S, 11         1  100.00   98.70   51.30
3SX, E, H, 7           1   84.44   84.44   50.00
4H, N, C, 10           1   25.56   50.89   24.67
4H, N, D, 11           1   67.78   50.89   66.89
4H, N, S, 10           1   25.56   50.89   24.67
4H, N, S, 11           2   67.78   50.89   66.89
4H, S, D, 11           2   67.78   52.78   65.00
4H, S, H, 11           1   67.78   52.78   65.00
4H, S, S, 10           6   25.56   52.78   22.78
4H, S, S, 11          18   67.78   52.78   65.00
4H, S, S, 9            3    2.22   52.78   -0.56
4SX, E, D, 7           1    2.22    2.22   50.00
pass                   4   10.00   10.00   50.00

DEFENDER, Board 39|1

Contract           Count Overall     Bid    Lead Restdef
3NT, N, S, 10          3   62.22   39.11   50.00   73.11
3NT, N, S, 11          1    4.44   39.11   50.00   15.33
3NTX, N, S, 11         1    0.00    1.30   50.00   48.70
3SX, E, H, 7           1   15.56   15.56   50.00   50.00
4H, N, C, 10           1   74.44   49.11   75.33   50.00
4H, N, D, 11           1   32.22   49.11   33.11   50.00
4H, N, S, 10           1   74.44   49.11   47.19   78.15
4H, N, S, 11           2   32.22   49.11   47.19   35.93
4H, S, D, 11           2   32.22   47.22   35.00   50.00
4H, S, H, 11           1   32.22   47.22   35.00   50.00
4H, S, S, 10           6   74.44   47.22   51.67   75.56
4H, S, S, 11          18   32.22   47.22   51.67   33.33
4H, S, S, 9            3   97.78   47.22   51.67   98.89
4SX, E, D, 7           1   97.78   97.78   50.00   50.00
pass                   4   90.00   90.00   50.00   50.00

DECLARER, Board 39|10

Contract           Count Overall     Bid    Play
1NT, N, D, 7           1   34.00   33.56   50.44
1NT, N, H, 7           1   34.00   33.56   50.44
2C, W, D, 5            1    4.00   32.80   21.20
2C, W, D, 6            1   22.00   32.80   39.20
2C, W, S, 6            1   22.00   32.80   39.20
2CX, W, D, 7           2   22.00   10.34   61.66
2H, E, C, 6            1   22.00   36.40   35.60
2H, E, C, 7            1   58.00   36.40   71.60
2H, E, D, 6            1   22.00   36.40   35.60
2H, E, S, 6            1   22.00   36.40   35.60
2H, W, D, 7            1   58.00   71.00   37.00
2H, W, D, 8            1   84.00   71.00   63.00
2HX, E, C, 7           1   22.00   11.11   60.89
2NT, N, C, 7           1   24.00   23.33   50.67
2NT, N, H, 6           2   10.00   23.33   36.67
2NT, N, H, 7           2   24.00   23.33   50.67
2NT, N, H, 8           1   60.00   23.33   86.67
2S, N, C, 8            1   52.00   52.00   50.00
2S, S, C, 8            1   52.00   38.00   64.00
2S, S, H, 8            1   52.00   38.00   64.00
2SX, W, D, 5           1    0.00    0.00   50.00
3NT, N, H, 6           1    2.00    8.89   43.11
3S, S, H, 6            1    2.00   16.67   35.33

DEFENDER, Board 39|10

Contract           Count Overall     Bid    Lead Restdef
1NT, N, D, 7           1   66.00   66.44   49.56   50.00
1NT, N, H, 7           1   66.00   66.44   50.13   49.43
2C, W, D, 5            1   96.00   67.20   47.30   81.50
2C, W, D, 6            1   78.00   67.20   47.30   63.50
2C, W, S, 6            1   78.00   67.20   60.80   50.00
2CX, W, D, 7           2   78.00   89.66   48.38   39.96
2H, E, C, 6            1   78.00   63.60   40.40   74.00
2H, E, C, 7            1   42.00   63.60   40.40   38.00
2H, E, D, 6            1   78.00   63.60   64.40   50.00
2H, E, S, 6            1   78.00   63.60   64.40   50.00
2H, W, D, 7            1   42.00   29.00   50.00   63.00
2H, W, D, 8            1   16.00   29.00   50.00   37.00
2HX, E, C, 7           1   78.00   88.89   45.16   43.95
2NT, N, C, 7           1   76.00   76.67   49.33   50.00
2NT, N, H, 6           2   90.00   76.67   50.19   63.14
2NT, N, H, 7           2   76.00   76.67   50.19   49.14
2NT, N, H, 8           1   40.00   76.67   50.19   13.14
2S, N, C, 8            1   48.00   48.00   50.00   50.00
2S, S, C, 8            1   48.00   62.00   36.00   50.00
2S, S, H, 8            1   48.00   62.00   57.00   29.00
2SX, W, D, 5           1  100.00  100.00   50.00   50.00
3NT, N, H, 6           1   98.00   91.11   50.32   56.57
3S, S, H, 6            1   98.00   83.33   53.67   61.00

DECLARER, Board 39|2

Contract           Count Overall     Bid    Play
3NT, E, H, 12          2   90.00   80.00   60.00
3NT, E, S, 11          2   70.00   80.00   40.00
4H, E, C, 11           1   41.11   46.30   44.81
4H, E, D, 11           3   41.11   46.30   44.81
4H, E, D, 12           1   80.00   46.30   83.70
4H, E, S, 11           8   41.11   46.30   44.81
4H, W, C, 11           1   41.11   65.93   25.19
4H, W, D, 11           3   41.11   65.93   25.19
4H, W, D, 12           2   80.00   65.93   64.07
4H, W, D, 13           2   94.44   65.93   78.52
4S, E, D, 12           1   80.00   44.44   85.56
4S, E, H, 10           1   12.22   44.44   17.78
4S, E, S, 11           1   41.11   44.44   46.67
4S, W, C, 10           1   12.22   46.96   15.26
4S, W, C, 11           2   41.11   46.96   44.15
4S, W, D, 11           3   41.11   46.96   44.15
4S, W, D, 12           3   80.00   46.96   83.04
4S, W, H, 11           1   41.11   46.96   44.15
5H, E, S, 11           1   41.11   46.30   44.81
6H, E, D, 12           1   98.89   13.19  135.70
6H, W, C, 12           1   98.89   55.19   93.70
6S, W, D, 11           1    0.00   19.78   30.22
pass                   4   94.44   94.44   50.00

DEFENDER, Board 39|2

Contract           Count Overall     Bid    Lead Restdef
3NT, E, H, 12          2   10.00   20.00   40.00   50.00
3NT, E, S, 11          2   30.00   20.00   60.00   50.00
4H, E, C, 11           1   58.89   53.70   55.19   50.00
4H, E, D, 11           3   58.89   53.70   39.63   65.56
4H, E, D, 12           1   20.00   53.70   39.63   26.67
4H, E, S, 11           8   58.89   53.70   55.19   50.00
4H, W, C, 11           1   58.89   34.07   55.37   69.44
4H, W, D, 11           3   58.89   34.07   48.47   76.35
4H, W, D, 12           2   20.00   34.07   48.47   37.46
4H, W, D, 13           2    5.56   34.07   48.47   23.02
4S, E, D, 12           1   20.00   55.56   14.44   50.00
4S, E, H, 10           1   87.78   55.56   82.22   50.00
4S, E, S, 11           1   58.89   55.56   53.33   50.00
4S, W, C, 10           1   87.78   53.04   65.48   69.26
4S, W, C, 11           2   58.89   53.04   65.48   40.37
4S, W, D, 11           3   58.89   53.04   45.25   60.61
4S, W, D, 12           3   20.00   53.04   45.25   21.72
4S, W, H, 11           1   58.89   53.04   55.85   50.00
5H, E, S, 11           1   58.89   53.70   55.19   50.00
6H, E, D, 12           1    1.11   86.81   23.63   -9.33
6H, W, C, 12           1    1.11   44.81   55.74    0.56
6S, W, D, 11           1  100.00   80.22   42.81   76.97
pass                   4    5.56    5.56   50.00   50.00

DECLARER, Board 39|9

Contract           Count Overall     Bid    Play
3NT, E, C, 11          4   94.00   57.05   86.95
3NT, E, C, 7           1   12.00   57.05    4.95
3NT, E, C, 8           6   38.00   57.05   30.95
3NT, E, C, 9           4   76.00   57.05   68.95
3NT, E, H, 9           1   76.00   57.05   68.95
3NT, E, S, 7           1   12.00   57.05    4.95
3NT, E, S, 8           1   38.00   57.05   30.95
3NT, W, S, 8           2   38.00   38.00   50.00
4C, E, S, 10           1   60.00   60.00   50.00
4H, E, S, 7            1    2.00    2.00   50.00
4SX, N, H, 8           1   36.00   36.00   50.00
5C, E, S, 10           1   38.00   38.00   50.00
5NT, E, S, 8           1    2.00   23.79   28.21
6C, E, S, 10           1   12.00   12.00   50.00

DEFENDER, Board 39|9

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 11          4    6.00   42.95   45.72   17.33
3NT, E, C, 7           1   88.00   42.95   45.72   99.33
3NT, E, C, 8           6   62.00   42.95   45.72   73.33
3NT, E, C, 9           4   24.00   42.95   45.72   35.33
3NT, E, H, 9           1   24.00   42.95   31.05   50.00
3NT, E, S, 7           1   88.00   42.95   77.72   67.33
3NT, E, S, 8           1   62.00   42.95   77.72   41.33
3NT, W, S, 8           2   62.00   62.00   50.00   50.00
4C, E, S, 10           1   40.00   40.00   50.00   50.00
4H, E, S, 7            1   98.00   98.00   50.00   50.00
4SX, N, H, 8           1   64.00   64.00   50.00   50.00
5C, E, S, 10           1   62.00   62.00   50.00   50.00
5NT, E, S, 8           1   98.00   76.21   72.46   49.33
6C, E, S, 10           1   88.00   88.00   50.00   50.00

DECLARER, Board 3|5

Contract           Count Overall     Bid    Play
2D, N, C, 10           1   21.83   21.83   50.00
3D, N, C, 10           1   21.83   21.83   50.00
3HX, E, D, 7           1   74.65   74.65   50.00
3NT, S, C, 10          2   47.18   23.16   74.02
3NT, S, C, 8           1    9.86   23.16   36.70
3NT, S, C, 9           1   26.76   23.16   53.60
3NT, S, H, 10          2   47.18   23.16   74.02
